	first	second	third	Mean	left_border	right_border	Concentration
A_300	1.776	1.588	1.946	1.7699999999999998	1.6459070767529427	1.894092923247057	500.0
B_300	1.722	0.909	1.051	1.2273333333333334	0.9264219967794132	1.5282446698872536	250.0
C_300	0.559	0.479	0.578	0.5386666666666667	0.5022590841230994	0.5750742492102341	125.0
D_300	0.306	0.355	0.332	0.331	0.3140117628931075	0.34798823710689253	62.5
E_300	0.179	0.171	0.195	0.18166666666666664	0.17319849882074703	0.19013483451258625	31.25
F_300	0.162	0.117	0.133	0.13733333333333334	0.12152624420640466	0.153140422460262	15.625
G_300	0.091	0.09	0.092	0.09100000000000001	0.0903070353544372	0.09169296464556283	7.8125
H_300	0.073	0.072	0.077	0.074	0.07216658788048076	0.07583341211951923	3.90625
