	first	second	third	Mean	left_border	right_border	Concentration
A_280	2.913	2.909	2.92	2.9139999999999997	2.9101417361417337	2.9178582638582657	500.0
B_280	3.175	2.803	2.853	2.9436666666666667	2.8037610117892937	3.0835723215440396	250.0
С_280	2.792	2.731	2.756	2.7596666666666665	2.7384170062772233	2.7809163270561097	125.0
D_280	2.255	2.146	2.426	2.2756666666666665	2.177862044758156	2.373471288575177	62.5
E_280	1.198	1.177	1.344	1.2396666666666667	1.1766322723516052	1.3027010609817282	31.25
F_280	0.714	0.635	0.759	0.7026666666666667	0.6591678383299555	0.7461654950033778	15.625
G_280	0.354	0.355	0.417	0.3753333333333333	0.3503257251576867	0.4003409415089799	7.8125
H_280	0.206	0.209	0.242	0.219	0.20515804204601099	0.23284195795398901	3.90625
