	first	second	third	Mean	left_border	right_border	Concentration
A_230	3.427	3.4	3.43	3.419	3.407550344983363	3.4304496550166372	500.0
B_230	3.904	3.385	3.393	3.560666666666666	3.354605110653259	3.7667282226800736	250.0
C_230	3.33	3.303	3.298	3.310333333333334	3.298404407704147	3.3222622589625206	125.0
D_230	3.282	3.312	3.288	3.294	3.2829995272828847	3.3050004727171154	62.5
E_230	3.223	3.207	3.224	3.218	3.211389538594016	3.224610461405984	31.25
F_230	3.162	3.125	3.158	3.1483333333333334	3.134261998404953	3.162404668261714	15.625
G_230	2.464	2.507	2.832	2.601	2.461572826895185	2.740427173104815	7.8125
H_230	1.374	1.462	1.719	1.5183333333333335	1.3941082663513968	1.6425584003152702	3.90625
